sib	rel	size	reason	main_rel
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Space/SP 12 Outer Darkness.wav	24757346	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Space/SP 12 Outer Darkness.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Space/SP 04 Gentle Gleams.wav	16733084	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Space/SP 04 Gentle Gleams.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Space/SP 06 Afterwards.wav	29698546	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Space/SP 06 Afterwards.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Space/SP 10 Slow Tone.wav	24658522	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Space/SP 10 Slow Tone.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments/11 Continuum CGown.com.wav	24225474	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments/11 Continuum.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments/03 First Light CGown.com.wav	22653584	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments/03 First Light.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments/12 Outer Darkness CGown.com.wav	19346978	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments/12 Outer Darkness.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments/05 Resonance CGown.com.wav	33692690	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments/05 Resonance.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments/02 Dimensions CGown.com.wav	43039162	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments/02 Dimensions.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments/10 Slow Tone CGown.com.wav	22655650	dup_main	03_项目素材/LTT_V30All/10 Slow Tone.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments/08 Growing Old CGown.com.wav	31736458	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments/08 Growing Old.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments/07 Coldness CGown.com.wav	15362032	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments/07 Coldness.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments/01 Existence CGown.com.wav	30601354	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments/01 Existence.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments/04 Gentle Gleams CGown.com.wav	15482778	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments/04 Gentle Gleams.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments/09 The Furthest CGown.com.wav	29444418	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments/09 The Furthest.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments/06 Afterwards CGown.com.wav	27245514	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments/06 Afterwards.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Silk/SL 09 The Furthest.wav	29481776	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Silk/SL 09 The Furthest.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Silk/SL 01 Existence.wav	30604172	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Silk/SL 01 Existence.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Silk/SL 02 Dimensions.wav	43045434	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Silk/SL 02 Dimensions.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Silk/SL 08 Growing Old.wav	31831420	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Silk/SL 08 Growing Old.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Silk/SL 05 Resonance.wav	33736592	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Silk/SL 05 Resonance.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Silk/SL 10 Slow Tone.wav	22661628	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Silk/SL 10 Slow Tone.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Silk/SL 04 Gentle Gleams.wav	15512734	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Silk/SL 04 Gentle Gleams.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Silk/SL 12 Outer Darkness.wav	19658222	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Silk/SL 12 Outer Darkness.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Silk/SL 06 Afterwards.wav	27250572	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Silk/SL 06 Afterwards.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Silk/SL 03 First Light.wav	22653584	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Silk/SL 03 First Light.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/06 - Moments/Moments - Silk/SL 07 Coldness.wav	15383798	dup_main	02_中文音效合集/气氛音乐音效/Statement SFX/06 - Moments/Moments - Silk/SL 07 Coldness.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 14 Boiler Room.wav	32641788	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 14 Boiler Room.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 18 Sub Below.wav	24351332	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 18 Sub Below.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 07 The Factory.wav	35215284	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 07 The Factory.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 10 Reverent A.wav	20075562	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 10 Reverent A.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 02 Transcend.wav	33864828	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 02 Transcend.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 06 Below The Surface.wav	30308322	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 06 Below The Surface.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 03 Weightless.wav	30042736	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 03 Weightless.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 08 Standstill.wav	23674714	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 08 Standstill.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 13 Down There.wav	34289568	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 13 Down There.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 04 Distant Energy.wav	33407146	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 04 Distant Energy.wav
音乐&音效库	大气深沉5【音效：大气深沉浑厚有力重低音环境气氛微电影抖音渲染音效】/Statement环境气氛WAV音效/05 - Undertones/Undertones - Distortion/DS 16 Hollow.wav	29471278	dup_main	02_中文音效合集/布斯的音效库/气氛音效/DS 16 Hollow.wav
