zip,member,结论,zip参数,lib参数,pcm_zip,pcm_lib
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Fire/WC_Fire_Whoosh_Tourch11_CT.wav,PCM一致,zip 192000/2/1.34s,lib 192000/2/1.34s,2d101e9df99039bb26592c343b295a92,2d101e9df99039bb26592c343b295a92
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Fire/WC_Fire_Whoosh_Tourch_longmovement3_CT.wav,PCM一致,zip 192000/2/3.34s,lib 192000/2/3.34s,1bc2a19a4a60112969d6c4827e861d40,1bc2a19a4a60112969d6c4827e861d40
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Rock/WC_Rock_Fall_large3_CT.wav,PCM一致,zip 192000/2/5.88s,lib 192000/2/5.88s,f66acdb00ab1984e57be6cbbaee35502,f66acdb00ab1984e57be6cbbaee35502
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Rock/WC_Rock_Slide_large2_CT.wav,PCM一致,zip 192000/2/6.0s,lib 192000/2/6.0s,82eb34913ee6ab50cb1776cbd1d4f88e,82eb34913ee6ab50cb1776cbd1d4f88e
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Rock/WC_Rock_Slide_medium3_CT.wav,PCM一致,zip 192000/2/8.0s,lib 192000/2/8.0s,3989e51df1d36221544035e78edf9dc9,3989e51df1d36221544035e78edf9dc9
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Elemental/Sand&Gravel&Pebble/WC_Sand&Gravel&Pebble_Debris3_CT.wav,PCM一致,zip 192000/2/4.22s,lib 192000/2/4.22s,fdf57113930c71beb28f845499dcce3a,fdf57113930c71beb28f845499dcce3a
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Piercer/WC_Piercer_Circuit_CT.wav,PCM一致,zip 192000/2/4.79s,lib 192000/2/4.79s,8d5a9a61e8563fe6e7740e0646f17c9a,8d5a9a61e8563fe6e7740e0646f17c9a
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Piercer/WC_Piercer_NoiseWoosh_CT.wav,PCM一致,zip 192000/2/9.35s,lib 192000/2/9.35s,695f5bd6304f78d58ef09cdcb20d54b4,695f5bd6304f78d58ef09cdcb20d54b4
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Piercer/WC_Piercer_TinnitusAuris_CT.wav,PCM一致,zip 192000/2/40.28s,lib 192000/2/40.28s,0c11ec7e1a18de0e702a50bb1d2f5150,0c11ec7e1a18de0e702a50bb1d2f5150
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Sweep/WC_Sweep_Corrupt_CT.wav,PCM一致,zip 192000/2/8.0s,lib 192000/2/8.0s,e4626366fe73272d637be1cda55004c9,e4626366fe73272d637be1cda55004c9
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Sweep/WC_Sweep_DarkSwell_CT.wav,PCM一致,zip 192000/2/8.13s,lib 192000/2/8.13s,32f9175d4900cd534904a398264e15c6,32f9175d4900cd534904a398264e15c6
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Sweep/WC_Sweep_EchoWoosh_CT.wav,PCM一致,zip 192000/2/4.32s,lib 192000/2/4.32s,6a0d06006bbf49b48db69dfd4b758a14,6a0d06006bbf49b48db69dfd4b758a14
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Sweep/WC_Sweep_GlassEnigma_CT.wav,PCM一致,zip 192000/2/3.64s,lib 192000/2/3.64s,c5172350e292918435eba07e94e0bf3c,c5172350e292918435eba07e94e0bf3c
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Sweep/WC_Sweep_Nasty_CT.wav,PCM一致,zip 192000/2/4.81s,lib 192000/2/4.81s,e88ca30105bc491ddc7af608959223df,e88ca30105bc491ddc7af608959223df
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Sweep/WC_Sweep_SpringSuck_CT.wav,PCM一致,zip 192000/2/1.44s,lib 192000/2/1.44s,58cf2e0102fd7fe000c48eaafff01ee0,58cf2e0102fd7fe000c48eaafff01ee0
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Texture/WC_Texture_ClassicTension_CT.wav,PCM一致,zip 192000/2/73.05s,lib 192000/2/73.05s,b1cd8b7c105ad09e5259dd76cbc479a6,b1cd8b7c105ad09e5259dd76cbc479a6
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Texture/WC_Texture_StillAir_CT.wav,PCM一致,zip 192000/2/56.78s,lib 192000/2/56.78s,8a19bf2e915de260cd905631ed04cbc3,8a19bf2e915de260cd905631ed04cbc3
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Voice/WC_Voice_GhostBreath3_CT.wav,PCM一致,zip 192000/2/2.06s,lib 192000/2/2.06s,3fbd548b055cd6898c5c707927ad4e39,3fbd548b055cd6898c5c707927ad4e39
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Voice/WC_Voice_GhostChoir_CT.wav,PCM一致,zip 192000/2/9.96s,lib 192000/2/9.96s,05238f94dd6c30afacc444797e5fe0a2,05238f94dd6c30afacc444797e5fe0a2
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Voice/WC_Voice_Giant_CT.wav,PCM一致,zip 192000/2/6.31s,lib 192000/2/6.31s,b062c8eba6703d61d4cef7322a077d6a,b062c8eba6703d61d4cef7322a077d6a
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Designer Tools/Voice/WC_Voice_StumbleTalk_CT.wav,PCM一致,zip 192000/2/7.82s,lib 192000/2/7.82s,c418e88cd22a7a93e1d20c133f1eb3b5,c418e88cd22a7a93e1d20c133f1eb3b5
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Pre-Designed/WC_Earth_RockCrumble2_CT.wav,PCM一致,zip 96000/2/2.25s,lib 96000/2/2.25s,69df11eaa49d82dfd575091d8a1a76f8,69df11eaa49d82dfd575091d8a1a76f8
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Pre-Designed/WC_Earth_RockCrumble3_CT.wav,PCM一致,zip 96000/2/2.02s,lib 96000/2/2.02s,cef999f4c4fc2c32e3852684cfd4dcaf,cef999f4c4fc2c32e3852684cfd4dcaf
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Pre-Designed/WC_Earth_RockCrumble4_CT.wav,PCM一致,zip 96000/2/1.82s,lib 96000/2/1.82s,fd4ee00b96dde98d9eefebf9a4840546,fd4ee00b96dde98d9eefebf9a4840546
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Pre-Designed/WC_Earth_RockCrumble_CT.wav,PCM一致,zip 96000/2/3.28s,lib 96000/2/3.28s,41e36bc6946f763d53459a4c9c3cf7b9,41e36bc6946f763d53459a4c9c3cf7b9
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Pre-Designed/WC_Earth_RockDebris_CT.wav,PCM一致,zip 96000/2/5.5s,lib 96000/2/5.5s,878e157fb597eaa794b10114141ff7be,878e157fb597eaa794b10114141ff7be
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Pre-Designed/WC_Earth_RockFall2_CT.wav,PCM一致,zip 96000/2/5.5s,lib 96000/2/5.5s,bdee8d34cd342181303cccbdb7a8d559,bdee8d34cd342181303cccbdb7a8d559
Cinetools Witchcraft【黑暗魔法巫术风火雷电咒语游戏技能音效素材】655544319933.zip,Cinetools Witchcraft/Pre-Designed/WC_Earth_RockFall_CT.wav,PCM一致,zip 96000/2/6.3s,lib 96000/2/6.3s,ba0a93bd3544fdf95b77732c515c1668,ba0a93bd3544fdf95b77732c515c1668
