总文件: 162431

== 顶层构成（136 项）==
      95 个 /      0.24 GiB ｜ 39.Human;Body Sounds
     188 个 /      0.23 GiB ｜ [WHO01]
      58 个 /      0.23 GiB ｜ 2 Birds & Animals
      93 个 /      0.22 GiB ｜ 35.Wet Movement,Bubbles,Squeak,Impact,Crash,Pops
     100 个 /      0.22 GiB ｜ 40.Pistol,Machine Gun,Bullet,Grenade
      86 个 /      0.21 GiB ｜ 18 Doors,Squeaks,Creaks
      36 个 /      0.20 GiB ｜ Vocals & Wallas
      77 个 /      0.19 GiB ｜ Animals
      78 个 /      0.19 GiB ｜ 24.Historical Military
     629 个 /      0.19 GiB ｜ Vintage Cartoon
      95 个 /      0.18 GiB ｜ 13 Humans Coughs,Laughs,Grunts,Screams,Moans,Farts
      81 个 /      0.16 GiB ｜ 33.Doors
      55 个 /      0.12 GiB ｜ Sound Design - Fantasy
      84 个 /      0.12 GiB ｜ Explosions - 5.1 Surround
     171 个 /      0.12 GiB ｜ 转场常用音效
      91 个 /      0.12 GiB ｜ 9 Guns,Ricochets,Explosions,Fireworks
      87 个 /      0.09 GiB ｜ 11 Crashes,Impacts & Swishes
      49 个 /      0.09 GiB ｜ Explosions
      60 个 /      0.09 GiB ｜ Impacts & Destruction Sweeteners
      75 个 /      0.08 GiB ｜ 10 Body Sounds
     103 个 /      0.07 GiB ｜ [WHOBonus]
      70 个 /      0.07 GiB ｜ Vocals - Monster
      37 个 /      0.07 GiB ｜ Sound Design - Horror
      32 个 /      0.06 GiB ｜ Sports & Recreation
      44 个 /      0.06 GiB ｜ Vocals - Humanoid
      36 个 /      0.06 GiB ｜ Electronics
      75 个 /      0.05 GiB ｜ Weapons & Explosions
      75 个 /      0.04 GiB ｜ Period Combat
      93 个 /      0.04 GiB ｜ Weapons & Firearms
      25 个 /      0.03 GiB ｜ Impacts
     135 个 /      0.03 GiB ｜ Hand To Hand Combat
      15 个 /      0.02 GiB ｜ Period Devices
      13 个 /      0.02 GiB ｜ Hits & Tones
      15 个 /      0.02 GiB ｜ Thunder & Lightning
      48 个 /      0.02 GiB ｜ Ricochets - Hits - Whiz Bys
      26 个 /      0.01 GiB ｜ Title Sequence Effects

== 音效/ 第二层（36 项）==
   20370 个 /     29.14 GiB ｜ 音效/音效
   26045 个 /      2.92 GiB ｜ 音效/音效素材1
    6576 个 /      2.31 GiB ｜ 音效/音效素材2
    4570 个 /      1.76 GiB ｜ 音效/音效素材3
      28 个 /      0.15 GiB ｜ 音效/LTT_V30All
       5 个 /      0.08 GiB ｜ 音效/网络下载
